"","MapCountry","AgeChild","AgeAdult","AgeOlderAdult"
"693","Denmark","No","Yes","Yes"
"694","France","Yes","Yes","No"
"695","Israel","No","Yes","Yes"
"696","France","No","Yes","Yes"
"697","United Kingdom","No","Yes","Yes"
"698","South Africa","No","Yes","Yes"
"699","France","No","Yes","Yes"
"700","United States","No","Yes","Yes"
"701","China","No","Yes","Yes"
"702","United States","No","Yes","Yes"
"703","United Kingdom","Yes","Yes","Yes"
"704","Jersey","No","Yes","Yes"
"705","France","Yes","Yes","No"
"707","Canada","Yes","Yes","Yes"
"708","China","No","Yes","Yes"
"709","United States","No","Yes","Yes"
"710","China","No","Yes","Yes"
"712","United States","No","Yes","Yes"
"713","France","No","Yes","Yes"
"715","Italy","No","Yes","Yes"
"716","Costa Rica","Yes","Yes","Yes"
"717","United States","Yes","Yes","Yes"
"718","Russian Federation","No","Yes","No"
"719","United Kingdom","No","Yes","Yes"
"720","China","No","Yes","Yes"
"721","United States","No","Yes","Yes"
"722","United States","No","Yes","Yes"
"723","Canada","No","Yes","Yes"
"724","Sweden","No","Yes","Yes"
"725","United States","No","Yes","No"
"726","Brazil","Yes","Yes","Yes"
"727","China","No","Yes","Yes"
"729","Niger","No","Yes","Yes"
"730","Saudi Arabia","No","Yes","Yes"
"731","Egypt","No","Yes","Yes"
"733","United States","No","Yes","Yes"
"734","China","Yes","No","No"
"735","United States","No","Yes","Yes"
"736","Brazil","No","Yes","Yes"
"737","China","Yes","Yes","Yes"
"738","Georgia","No","Yes","Yes"
"739","United States","No","Yes","Yes"
"740","Bahrain","No","Yes","Yes"
"741","Italy","No","Yes","Yes"
"742","China","No","Yes","No"
"743","Indonesia","Yes","Yes","Yes"
"745","Poland","No","Yes","Yes"
"746","United States","No","Yes","Yes"
"747","United States","No","Yes","Yes"
"748","France","No","Yes","Yes"
"749","Mexico","No","Yes","Yes"
"750","Austria","No","Yes","Yes"
"751","Italy","No","Yes","Yes"
"752","China","No","Yes","Yes"
"753","China","No","Yes","Yes"
"754","China","No","Yes","No"
"755","United States","No","Yes","Yes"
"756","Singapore","No","Yes","Yes"
"757","Germany","No","Yes","Yes"
"758","France","No","Yes","Yes"
"759","United States","No","Yes","Yes"
"760","Canada","No","Yes","No"
"761","Canada","No","Yes","Yes"
"762","Egypt","Yes","Yes","No"
"763","United Kingdom","No","Yes","Yes"
"764","United States","No","Yes","Yes"
"765","Belgium","Yes","Yes","Yes"
"766","Denmark","No","Yes","Yes"
"767","Italy","No","Yes","Yes"
"768","France","No","Yes","Yes"
"769","Mali","No","Yes","Yes"
"770","Colombia","Yes","Yes","Yes"
"771","Italy","No","Yes","Yes"
"772","United States","No","Yes","Yes"
"773","Norway","Yes","Yes","Yes"
"774","Netherlands","No","Yes","Yes"
"775","Egypt","No","Yes","Yes"
"776","Belgium","No","Yes","Yes"
"779","India","No","Yes","Yes"
"781","United States","No","Yes","Yes"
"782","Iran, Islamic Republic of","Yes","Yes","Yes"
"783","Iran, Islamic Republic of","No","Yes","Yes"
"784","Poland","No","Yes","Yes"
"785","Jamaica","No","Yes","Yes"
"786","Brazil","No","Yes","Yes"
"787","United States","No","Yes","Yes"
"788","United States","No","Yes","Yes"
"789","Brazil","No","Yes","Yes"
"790","United Kingdom","No","Yes","Yes"
"791","Spain","No","Yes","Yes"
"792","Brazil","No","Yes","Yes"
"795","United States","Yes","Yes","Yes"
"796","France","No","Yes","Yes"
"797","France","No","Yes","Yes"
"798","Turkey","No","Yes","Yes"
